SET,IE PID,MMS ID,Title (DC),Identifier - Digital File Name (DC),Created - W 3 CDTF (DCTERMS),Is Part Of (DCTERMS)
2,IE511165,9916547543607636,Tin Dish Washing /,b28263,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE532291,9916548383607636,Diggers shipping /,b28293,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE390158,9916548253607636,Iron Bark /,b28281,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE390622,9916548263607636,"Sunday camp meeting, Forest Creek /",b28282,1869,"The Victorian gold fields during 1852 & 3, comprising forty original sketches by S.T. Gill"
2,IE546790,9916831193607636,"Flinders Street Railway Station, Melbourne",a06026,1905/1915,General sequence postcards. Melbourne R-S
2,IE1274323,9916724853607636,The Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches of life and charactor primative operations &c &c /,wp007363,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1288611,9916716463607636,Diggers on way to Camp to deposit Gold 1852 /,wp007415,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1294576,9923878593607636,Iron Bark Gully 1852 /,wp007369,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1299614,9916716473607636,"Little Bendigo Mt. Alexandra, 1852 /",wp007351,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1307644,9916724913607636,"Marking the claim, 1852 /",wp007486,1852,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1316133,9916724953607636,Fossicking /,wp007488,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1316678,9916724933607636,Diggers shipping from Melbourne 1853 /,wp007491,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1343950,9923879573607636,"Butcher's shamble, Forest Creek 1852 /",wp007384,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1344135,9916716523607636,"News vender Forest Creek. Hargus, hargus, long letter from Bendigo /",wp007354,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1345239,9923878503607636,Unlucky digger that never returned 1853 /,wp007366,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1351616,9923878443607636,Eagle Hawk Gully Bendigo 1852 /,wp007365,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1377790,9916724923607636,Tin dish washing /,wp007487,1849/1855,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1378126,9916724943607636,On road to Bendigo 1852 /,wp007492,1852,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1379866,9916724903607636,"The claim disputed, 1852/",wp007490,1852,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1390358,9916724873607636,"Digger's wedding, Melbourne 1853 /",wp007484,1853,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1399274,9916716453607636,Diggers licenceing Forest Creek,wp007413,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1423118,9916716403607636,"Diggers' Auction Eagle Hawk, 1852 /",wp007355,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1437735,9916724883607636,"Interesting statement quality of washing stuff discussed, 1852 /",wp007489,1852,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1438180,9916724893607636,"Puddling, 1852",wp007485,1852,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1442944,9923878823607636,Lucky diggers on way from Bendigo 1852 /,wp007375,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1443382,9923880543607636,Bad results /,wp007403,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1443805,9923878723607636,Bendigo mill 1852 /,wp007372,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1448851,9916716493607636,Convivial Diggers in Melbourne 1853 /,wp007410,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1448923,9916716393607636,Fryers Creek near Castlemaine 1852,wp007411,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1449181,9916716413607636,"Govt Mt Alexandra Gold Escort en route for Melbourne, 1852 /",wp007356,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1461210,9923880513607636,Provident diggers in Melbourne 1853 /,wp007408,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1467109,9923879413607636,Diggers on road to Bendigo /,wp007381,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1467484,9923878753607636,"Gold taken via Bendigo or elsewhere. Contributions insisted on, voluntary principles despised 1852 /",wp007373,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1467659,9923880633607636,Cradling /,wp007409,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1467838,9923878783607636,Gold buyer Forest Creek 1852 /,wp007374,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1494250,9923880663607636,Sunday camp meeting 1852 /,wp007406,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1494271,9923879403607636,Sly grog shanty on road to Bendigo 1852 /,wp007382,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1494430,9923878423607636,Diggers of high degree 1852 /,wp007364,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1494694,9916716433607636,The licence inspected 1852 /,wp007350,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1494723,9923880603607636,Diggers night camp 1852 /,wp007407,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1494742,9923879603607636,"Bendigo Creek, road to Eaglehawk /",wp007402,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1504165,9916716503607636,Supply & demand Melbourne 1853 /,wp007412,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1504693,9916716483607636,"Pensioners on guard Forest Creek, 1852 /",wp007352,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1507766,9923879443607636,"Zealous gold diggers, Castlemaine 1852 /",wp007380,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1507913,9923880403607636,Lucky digger that returned 1853 /,wp007405,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1508039,9924119253607636,Fair prospects /,wp007404,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1508185,9923878663607636,Wayfaring diggers 1852 /,wp007371,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1513287,9923879493607636,Diggers of low degree 1852 /,wp007383,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1526560,9923879583607636,Nuggeting 1852 /,wp007401,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1526894,9916716443607636,Invalid Digger 1852 /,wp007414,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1526954,9923878573607636,Road in the Black Forest 1852 /,wp007368,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1530823,9916716513607636,"Diggers Hut Forest Creek, 1852 /",wp007353,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1530948,9923878613607636,"Iron Bark & Digger's tent, Eagle Hawk 1852 /",wp007370,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1531639,9923878553607636,Improvident digger in Melbourne 1853 /,wp007367,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1531655,9916716423607636,"The newly arrived inquiring, 1852 /",wp007349,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;
2,IE1279728,9916562193607636,Great Meeting of Gold Diggers Dec15th 1851,wp005653,1851,Ham's view of the goldfields.
2,IE1386529,9923122123607636,"Golden Point, Ballarat, 1851",wp003905,1851,Ham's views of the gold fields
2,IE1500489,9923242723607636,"Golden Point, Mt. Alexander",wp003907,1851,Ham's views of the gold fields
2,IE1503867,9923242943607636,"Golden Point, Ballarat 1851",wp003908,1851,Ham's views of the gold fields
2,IE1504504,9923242633607636,"Forest Creek, Mt. Alexander",wp003906,1851,Ham's views of the gold fields
2,IE1383556,9939669747407636,"Showroom windows at the Metropolitan Gas Co., 196 Flinders Street, Melbourne",is004522,1930/1939,Harold Paynting collection.
2,IE1400030,9939668218407636,"Showroom windows at the Metropolitan Gas Co., 196 Flinders Street, Melbourne",is004521,1930/1939,Harold Paynting collection.
2,IE1400851,9939656170407636,"Showroom windows at the Metropolitan Gas Co., 196 Flinders Street, Melbourne",is005250,1930/1939,Harold Paynting collection.
2,IE1426493,9939657622207636,"Showroom windows at the Metropolitan Gas Co., 196 Flinders Street, Melbourne",is004570,1930/1939,Harold Paynting collection.
2,IE1475643,9939663054707636,"Showroom windows at the Metropolitan Gas Co., 196 Flinders Street, Melbourne",is004569,1930/1939,Harold Paynting collection.
2,IE74980,9939650423207636,Flinders Street Station,cg003171,1926,Richard Courtney collection.
2,IE1889985,9920100983607636,"[Commerce House, 328 Flinders Street, Melbourne]",pi009823,1930/1949,Harold Paynting collection.
2,IE1887661,9920101663607636,"[Majestic Theatre, 172 Flinders Street, Melbourne]",pi009826,1936,Harold Paynting collection.
2,IE20723265,9939657472707636,"State theatre, 154 Flinders Street, designed by Bohringer, Taylor and Johnson - interior",a37461,1941,Harold Paynting collection.
2,IE20872256,9916427493607636,"[Metropolitan Gas Co., 196 Flinders Street, Melbourne]",a17758,1933/1939,Harold Paynting collection.
2,IE20872286,9916431463607636,"[Gas showroom window at the Metropolitan Gas Co., 196 Flinders Street, Melbourne]",a17784,1936-08,Harold Paynting collection.
2,IE121979,9916459663607636,"[Elevated view along Flinders Street, Melbourne, looking over railway yards, Yarra River and wharves]",df000358,1910/1920,Harold Paynting collection. Glass negatives.
2,IE1253401,9916990293607636,"[Flinders Street looking west, from an elevated viewpoint]",cr003311,1920/1925,Harold Paynting collection. Glass negatives.
2,IE1308346,9916975143607636,[View of Flinders Street station looking towards the Domain],cr003253,1916,Harold Paynting collection. Glass negatives.
2,IE133468,9916459763607636,"[Swanston Street, Melbourne, looking north, from beyond Flinders Street, showing cable trams, people, cars and horse drawn vehicles]",df000368,1910/1920,Harold Paynting collection. Glass negatives.
2,IE1345419,9917070153607636,[Flinders Street looking east between Elizabeth and Queen Streets],cr001331,1914/1918,Harold Paynting collection. Glass negatives.
2,IE1549546,9917070163607636,[Elizabeth Street looking south towards Flinders Street Railway Station from Bourke Street],cr001332,1914/1918,Harold Paynting collection. Glass negatives.
2,IE1350078,9916974273607636,[Flinders Street Railway Station taken from diagonally opposite the main entrance during World War I],cr003248,1916,Harold Paynting collection. Glass negatives.
2,IE1855484,9926601713607636,"Flinders Street Station, 1888.",pi017641,1888/1935,Harold Paynting collection. Photographs
2,IE1549342,9917957393607636,Flinders Street looking east,pi003951,1870/1880,Henry J. Bunney collection of photographs.
2,IE224862,9917950543607636,"[Large crowd of people at Flinders Street Railway Station, Melbourne, during tram strike]",hp004773,1954,Herald & Weekly Times Limited collection.
2,IE262627,9917950473607636,"[Large crowd on Flinders Street during lightning tram strike, 1954]",hp004768,1954,Herald & Weekly Times Limited collection.
2,IE241844,9917899943607636,[Horse and carriage on Flinders Street in tramless Melbourne],hp004356,1948,Herald & Weekly Times Limited collection.
2,IE261071,9917950513607636,"[Mr. Harry Cull, liftman from the Treasury Building, walking along Flinders Street during a tram strike]",hp004771,1948,Herald & Weekly Times Limited collection.
2,IE631695,9911912513607636,[George Washington Heller],mp017911,1900/1928,W.G. Alma conjuring collection. Postcards.
2,IE652102,9911912653607636,[Mr and Mrs Carl Wolfe],mp017913,1921/1927,W.G. Alma conjuring collection. Postcards.
2,IE679597,9911919053607636,"[Doc Rowe with Francois DeVillier outside DeVillier's Moving Theatre, India, 1918]",mp017926,1915/1921,W.G. Alma conjuring collection. Postcards.
2,IE676609,9911919083607636,"[A picnic party with friends, Doc Rowe and Mystic Mora, Ghezeria, Egypt]",mp017927,1914/1920,W.G. Alma conjuring collection. Postcards.
2,IE694708,9911919323607636,[Christmas greeting in the form of a puzzle],mp017928,1922/1928,W.G. Alma conjuring collection. Postcards.
2,IE607477,9911919373607636,[Photograph of poster advertising the professor Alfred Silvester],mp017929,1930/1936,W.G. Alma conjuring collection. Postcards.
2,IE782037,9911922153607636,The Great Thurston,mp017946,1903/1909,W.G. Alma conjuring collection. Postcards.
2,IE647015,9911922653607636,The Great Thurston [Howard Thurston in Australia],mp017947,1902/1908,W.G. Alma conjuring collection. Postcards.
2,IE701603,9911922663607636,The Great Thurston [Howard Thurston in Australia],mp017948,1902/1908,W.G. Alma conjuring collection. Postcards.
2,IE788440,9911922683607636,The Great Thurston,mp017949,1902/1908,W.G. Alma conjuring collection. Postcards.
2,IE765341,9911924953607636,"Ione, queen of the air",mp017950,1902/1908,W.G. Alma conjuring collection. Postcards.
2,IE714389,9911924963607636,The fairy fountain,mp017951,1902/1908,W.G. Alma conjuring collection. Postcards.
2,IE737042,9911924983607636,[Howard Thurston on stage performing illusion - Sans Gene,mp017952,1902/1908,W.G. Alma conjuring collection. Postcards.
2,IE766463,9911925003607636,[Howard Thurston on stage performing Aga illusion,mp017953,1902/1908,W.G. Alma conjuring collection. Postcards.
2,IE846847,9911927043607636,Cora Van Bern (Cora Lister),mp017956,1943/1949,W.G. Alma conjuring collection. Postcards.
2,IE726067,9911933253607636,[Christmas greetings from Wallace Lee the magician],mp017967,1925/1931,W.G. Alma conjuring collection. Postcards.
2,IE724518,9911934313607636,"[Rex and Helen Sinclair, Xmas 1936]",mp017980,1933/1939,W.G. Alma conjuring collection. Postcards.
2,IE1162590,9917472203607636,[Horses and dray outside Flinders Street Station],bf000198,1880/1900,Hodgkinson collection.
2,IE676497,9911939063607636,Don the Magic Ace,mp017989,1934/1940,W.G. Alma conjuring collection. Postcards.
