IE PID,MMS ID,Title (DC),Created - W 3 CDTF (DCTERMS),Is Part Of (DCTERMS),palettes,pal_1,pal_2,pal_3,pal_4,pal_5,alma_title,alma_title_statement,alma_summary,alma_p950,ner,pos
IE1494430,9923878423607636,Diggers of high degree 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[125, 97, 76], [172, 146, 110], [206, 179, 144], [226, 205, 174], [232, 223, 208]]","[125, 97, 76]","[172, 146, 110]","[206, 179, 144]","[226, 205, 174]","[232, 223, 208]",Diggers of high degree 1852 /,Diggers of high degree 1852 /,Depicts three 'gentleman' diggers pausing in their work: man is sitting on an upturned bucket reading the newspaper while waiting for pot of tea to brew.,,"['Span[5:6]: ""1852"" → CARDINAL (0.6087)', 'Span[18:19]: ""three"" → CARDINAL (0.9726)']","Sentence[53]: ""['Diggers of high degree 1852 /', 'Diggers of high degree 1852 /', ""Depicts three 'gentleman' diggers pausing in their work: man is sitting on an upturned bucket reading the newspaper while waiting for pot of tea to brew."", 'n/a']"" → [""['""/``, ""Diggers""/NNS, ""of""/IN, ""high""/JJ, ""degree""/NN, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Diggers""/NNS, ""of""/IN, ""high""/JJ, ""degree""/NN, ""1852""/CD, ""/'""/NFP, "",""/,, """"""/'', ""Depicts""/VBZ, ""three""/CD, ""'""/``, ""gentleman""/NN, ""'""/'', ""diggers""/NNS, ""pausing""/VBG, ""in""/IN, ""their""/PRP$, ""work""/NN, "":""/:, ""man""/NN, ""is""/VBZ, ""sitting""/VBG, ""on""/IN, ""an""/DT, ""upturned""/JJ, ""bucket""/NN, ""reading""/VBG, ""the""/DT, ""newspaper""/NN, ""while""/IN, ""waiting""/VBG, ""for""/IN, ""pot""/NN, ""of""/IN, ""tea""/NN, ""to""/IN, ""brew.""/NN, """"""/'', "",""/,, ""'""/'', ""n""/NNP, ""/""/,, ""a""/DT, ""']""/'']"
IE1494694,9916716433607636,The licence inspected 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[123, 113, 103], [188, 159, 135], [226, 198, 174], [238, 231, 226], [250, 247, 243]]","[123, 113, 103]","[188, 159, 135]","[226, 198, 174]","[238, 231, 226]","[250, 247, 243]",The licence inspected 1852 /,The licence inspected 1852 /,A digger seated on the edge of his claim looks at the trooper who is inspecting his licence.,,"['Span[4:5]: ""1852"" → CARDINAL (0.5599)']","Sentence[40]: ""['The licence inspected 1852 /', 'The licence inspected 1852 /', 'A digger seated on the edge of his claim looks at the trooper who is inspecting his licence.', 'n/a']"" → [""['""/``, ""The""/DT, ""licence""/NN, ""inspected""/VBD, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""The""/DT, ""licence""/NN, ""inspected""/VBD, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""A""/DT, ""digger""/NN, ""seated""/VBN, ""on""/IN, ""the""/DT, ""edge""/NN, ""of""/IN, ""his""/PRP$, ""claim""/NN, ""looks""/VBZ, ""at""/IN, ""the""/DT, ""trooper""/NN, ""who""/WP, ""is""/VBZ, ""inspecting""/VBG, ""his""/PRP$, ""licence.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/NNP, ""/""/,, ""a""/NN, ""']""/'']"
IE1494723,9923880603607636,Diggers night camp 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[106, 92, 77], [144, 124, 100], [175, 151, 124], [203, 187, 163], [229, 217, 199]]","[106, 92, 77]","[144, 124, 100]","[175, 151, 124]","[203, 187, 163]","[229, 217, 199]",Diggers night camp 1852 /,Diggers night camp 1852 /,Depicts two diggers who are travelling by wagon.  They have stopped for the night and are preparing a meal on a campfire.  The moon is rising and their horse is grazing in the distance.,,"['Span[7:12]: ""\'Diggers night camp 1852"" → WORK_OF_ART (0.7599)', 'Span[16:17]: ""two"" → CARDINAL (0.9927)']","Sentence[58]: ""['Diggers night camp 1852 /', 'Diggers night camp 1852 /', 'Depicts two diggers who are travelling by wagon.  They have stopped for the night and are preparing a meal on a campfire.  The moon is rising and their horse is grazing in the distance.', 'n/a']"" → [""['""/``, ""Diggers""/NNP, ""night""/NN, ""camp""/NN, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Diggers""/NNP, ""night""/NN, ""camp""/NN, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Depicts""/VBZ, ""two""/CD, ""diggers""/NNS, ""who""/WP, ""are""/VBP, ""travelling""/VBG, ""by""/IN, ""wagon""/NN, "".""/,, ""They""/PRP, ""have""/VBP, ""stopped""/VBN, ""for""/IN, ""the""/DT, ""night""/NN, ""and""/CC, ""are""/VBP, ""preparing""/VBG, ""a""/DT, ""meal""/NN, ""on""/IN, ""a""/DT, ""campfire""/NN, "".""/,, ""The""/DT, ""moon""/NN, ""is""/VBZ, ""rising""/VBG, ""and""/CC, ""their""/PRP$, ""horse""/NN, ""is""/VBZ, ""grazing""/VBG, ""in""/IN, ""the""/DT, ""distance.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/CD, ""/""/SYM, ""a""/NN, ""']""/'']"
IE1494742,9923879603607636,"Bendigo Creek, road to Eaglehawk /",1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[128, 103, 73], [167, 142, 109], [196, 171, 138], [218, 198, 168], [232, 219, 197]]","[128, 103, 73]","[167, 142, 109]","[196, 171, 138]","[218, 198, 168]","[232, 219, 197]","Bendigo Creek, road to Eaglehawk /","Bendigo Creek, road to Eaglehawk /","Depicts the creek, with the diggings, huts and tents beyond.  A bullock wagon is being driven across a crude wooden bridge.",,"['Span[1:3]: ""Bendigo Creek"" → LOC (0.7387)', 'Span[10:12]: ""Bendigo Creek"" → LOC (0.7032)', 'Span[15:16]: ""Eaglehawk"" → GPE (0.5106)']","Sentence[50]: ""['Bendigo Creek, road to Eaglehawk /', 'Bendigo Creek, road to Eaglehawk /', 'Depicts the creek, with the diggings, huts and tents beyond.  A bullock wagon is being driven across a crude wooden bridge.', 'n/a']"" → [""['""/``, ""Bendigo""/NNP, ""Creek""/NNP, "",""/,, ""road""/NN, ""to""/IN, ""Eaglehawk""/NNP, ""/'""/'', "",""/,, ""'""/'', ""Bendigo""/NNP, ""Creek""/NNP, "",""/,, ""road""/NN, ""to""/IN, ""Eaglehawk""/NNP, ""/'""/'', "",""/,, ""'""/'', ""Depicts""/VBZ, ""the""/DT, ""creek""/NN, "",""/,, ""with""/IN, ""the""/DT, ""diggings""/NNS, "",""/,, ""huts""/NNS, ""and""/CC, ""tents""/NNS, ""beyond""/IN, "".""/,, ""A""/DT, ""bullock""/NN, ""wagon""/NN, ""is""/VBZ, ""being""/VBG, ""driven""/VBN, ""across""/IN, ""a""/DT, ""crude""/JJ, ""wooden""/JJ, ""bridge.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/CD, ""/""/SYM, ""a""/NN, ""']""/'']"
IE1504165,9916716503607636,Supply & demand Melbourne 1853 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,,,,,,,Supply & demand Melbourne 1853 /,Supply & demand Melbourne 1853 /,"Shows three men outside Pinch's Clothing Mart. Two diggers, dressed in moleskins and boots, examine clothing being offered for sale by the proprietor.  The exorbitant prices - thirty shillings for a coat - account for the displeased look of the diggers.",,"['Span[4:6]: ""Melbourne 1853"" → WORK_OF_ART (0.5127)', 'Span[9:14]: ""Supply & demand Melbourne 1853"" → WORK_OF_ART (0.7953)', 'Span[18:19]: ""three"" → CARDINAL (0.9971)', 'Span[21:25]: ""Pinch\'s Clothing Mart"" → ORG (0.7746)', 'Span[0:1]: ""Two"" → CARDINAL (0.9995)', 'Span[4:6]: ""thirty shillings"" → MONEY (0.8680)']","Sentence[70]: ""['Supply & demand Melbourne 1853 /', 'Supply & demand Melbourne 1853 /', ""Shows three men outside Pinch's Clothing Mart. Two diggers, dressed in moleskins and boots, examine clothing being offered for sale by the proprietor.  The exorbitant prices - thirty shillings for a coat - account for the displeased look of the diggers."", 'n/a']"" → [""['""/``, ""Supply""/NN, ""&""/CC, ""demand""/NN, ""Melbourne""/NNP, ""1853""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Supply""/NN, ""&""/CC, ""demand""/NN, ""Melbourne""/NNP, ""1853""/CD, ""/'""/NFP, "",""/,, """"""/'', ""Shows""/VBZ, ""three""/CD, ""men""/NNS, ""outside""/IN, ""Pinch""/NNP, ""'s""/POS, ""Clothing""/NNP, ""Mart""/NNP, "".""/., ""Two""/CD, ""diggers""/NNS, "",""/,, ""dressed""/VBN, ""in""/IN, ""moleskins""/NNS, ""and""/CC, ""boots""/NNS, "",""/,, ""examine""/VBP, ""clothing""/NN, ""being""/VBG, ""offered""/VBN, ""for""/IN, ""sale""/NN, ""by""/IN, ""the""/DT, ""proprietor""/NN, "".""/,, ""The""/DT, ""exorbitant""/JJ, ""prices""/NNS, ""-""/HYPH, ""thirty""/CD, ""shillings""/NNS, ""for""/IN, ""a""/DT, ""coat""/NN, ""-""/,, ""account""/VBP, ""for""/IN, ""the""/DT, ""displeased""/VBN, ""look""/NN, ""of""/IN, ""the""/DT, ""diggers.""/NN, """"""/'', "",""/,, ""'""/'', ""n""/NNP, ""/""/,, ""a""/DT, ""']""/'']"
IE1504693,9916716483607636,"Pensioners on guard Forest Creek, 1852 /",1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[117, 95, 76], [179, 146, 118], [216, 184, 159], [231, 211, 193], [250, 247, 242]]","[117, 95, 76]","[179, 146, 118]","[216, 184, 159]","[231, 211, 193]","[250, 247, 242]","Pensioners on guard Forest Creek, 1852 /","Pensioners on guard Forest Creek, 1852 /","Shows two elderly men in uniform standing outside a licence tent. One has a rifle with a fixed bayonet. These 'pensioners' were military men who had retired from service, who were recruited to help police the goldfields due to a shortage of regular officers.",,"['Span[4:6]: ""Forest Creek"" → WORK_OF_ART (0.4461)', 'Span[7:8]: ""1852"" → CARDINAL (0.6356)', 'Span[14:16]: ""Forest Creek"" → WORK_OF_ART (0.5942)', 'Span[17:18]: ""1852"" → CARDINAL (0.6028)', 'Span[22:23]: ""two"" → CARDINAL (0.9982)']","Sentence[76]: ""['Pensioners on guard Forest Creek, 1852 /', 'Pensioners on guard Forest Creek, 1852 /', ""Shows two elderly men in uniform standing outside a licence tent. One has a rifle with a fixed bayonet. These 'pensioners' were military men who had retired from service, who were recruited to help police the goldfields due to a shortage of regular officers."", 'n/a']"" → [""['""/'', ""Pensioners""/NNS, ""on""/IN, ""guard""/NN, ""Forest""/NNP, ""Creek""/NNP, "",""/,, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Pensioners""/NNPS, ""on""/IN, ""guard""/NN, ""Forest""/NNP, ""Creek""/NNP, "",""/,, ""1852""/CD, ""/'""/NFP, "",""/,, """"""/'', ""Shows""/VBZ, ""two""/CD, ""elderly""/JJ, ""men""/NNS, ""in""/IN, ""uniform""/NN, ""standing""/VBG, ""outside""/IN, ""a""/DT, ""licence""/NN, ""tent""/NN, "".""/,, ""One""/CD, ""has""/VBZ, ""a""/DT, ""rifle""/NN, ""with""/IN, ""a""/DT, ""fixed""/VBN, ""bayonet""/NN, "".""/,, ""These""/DT, ""'""/'', ""pensioners'""/NNS, ""were""/VBD, ""military""/JJ, ""men""/NNS, ""who""/WP, ""had""/VBD, ""retired""/VBN, ""from""/IN, ""service""/NN, "",""/,, ""who""/WP, ""were""/VBD, ""recruited""/VBN, ""to""/TO, ""help""/VB, ""police""/VB, ""the""/DT, ""goldfields""/NNS, ""due""/IN, ""to""/IN, ""a""/DT, ""shortage""/NN, ""of""/IN, ""regular""/JJ, ""officers.""/NNS, """"""/'', "",""/,, ""'""/'', ""n""/NFP, ""/""/SYM, ""a""/DT, ""']""/'']"
IE1507766,9923879443607636,"Zealous gold diggers, Castlemaine 1852 /",1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,,,,,,,"Zealous gold diggers, Castlemaine 1852 /","Zealous gold diggers, Castlemaine 1852 /","Depicts a family of gold diggers at work: the father digs with a pick, while the mother holds a baby and rocks the 'cradle' used to wash gold-bearing earth.  Two older children assist with sluicing and digging.",,"['Span[14:16]: ""Castlemaine 1852"" → WORK_OF_ART (0.6156)', 'Span[0:1]: ""Two"" → CARDINAL (0.9988)']","Sentence[68]: ""['Zealous gold diggers, Castlemaine 1852 /', 'Zealous gold diggers, Castlemaine 1852 /', ""Depicts a family of gold diggers at work: the father digs with a pick, while the mother holds a baby and rocks the 'cradle' used to wash gold-bearing earth.  Two older children assist with sluicing and digging."", 'n/a']"" → [""['""/``, ""Zealous""/JJ, ""gold""/NN, ""diggers""/NNS, "",""/,, ""Castlemaine""/NNP, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Zealous""/JJ, ""gold""/NN, ""diggers""/NNS, "",""/,, ""Castlemaine""/NNP, ""1852""/CD, ""/'""/NFP, "",""/,, """"""/'', ""Depicts""/VBZ, ""a""/DT, ""family""/NN, ""of""/IN, ""gold""/JJ, ""diggers""/NNS, ""at""/IN, ""work""/NN, "":""/:, ""the""/DT, ""father""/NN, ""digs""/VBZ, ""with""/IN, ""a""/DT, ""pick""/NN, "",""/,, ""while""/IN, ""the""/DT, ""mother""/NN, ""holds""/VBZ, ""a""/DT, ""baby""/NN, ""and""/CC, ""rocks""/VBZ, ""the""/DT, ""'""/``, ""cradle""/NN, ""'""/'', ""used""/VBN, ""to""/TO, ""wash""/VB, ""gold-bearing""/JJ, ""earth""/NN, "".""/., ""Two""/CD, ""older""/JJR, ""children""/NNS, ""assist""/VBP, ""with""/IN, ""sluicing""/NN, ""and""/CC, ""digging.""/NN, """"""/'', "",""/,, ""'""/'', ""n""/FW, ""/""/,, ""a""/DT, ""']""/'']"
IE1507913,9923880403607636,Lucky digger that returned 1853 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,,,,,,,Lucky digger that returned 1853 /,Lucky digger that returned 1853 /,"Depicts a comfortable, affluent domestic interior in England.  A man is seated by his fireplace, surrounded by his wife and children.  He plays with a baby in skirts (probably a boy).  A dog reclines nearby.  The young girl holds a whip, probably used for spinning a top.",,"['Span[5:6]: ""1853"" → DATE (0.9118)', 'Span[13:14]: ""1853"" → DATE (0.3405)', 'Span[25:26]: ""England"" → GPE (0.9922)']","Sentence[80]: ""['Lucky digger that returned 1853 /', 'Lucky digger that returned 1853 /', 'Depicts a comfortable, affluent domestic interior in England.  A man is seated by his fireplace, surrounded by his wife and children.  He plays with a baby in skirts (probably a boy).  A dog reclines nearby.  The young girl holds a whip, probably used for spinning a top.', 'n/a']"" → [""['""/``, ""Lucky""/JJ, ""digger""/NN, ""that""/WDT, ""returned""/VBD, ""1853""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Lucky""/JJ, ""digger""/NN, ""that""/WDT, ""returned""/VBD, ""1853""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Depicts""/VBZ, ""a""/DT, ""comfortable""/JJ, "",""/,, ""affluent""/JJ, ""domestic""/JJ, ""interior""/NN, ""in""/IN, ""England""/NNP, "".""/,, ""A""/DT, ""man""/NN, ""is""/VBZ, ""seated""/VBN, ""by""/IN, ""his""/PRP$, ""fireplace""/NN, "",""/,, ""surrounded""/VBN, ""by""/IN, ""his""/PRP$, ""wife""/NN, ""and""/CC, ""children""/NNS, "".""/., ""He""/PRP, ""plays""/VBZ, ""with""/IN, ""a""/DT, ""baby""/NN, ""in""/IN, ""skirts""/NNS, ""(""/,, ""probably""/RB, ""a""/DT, ""boy""/NN, "")""/-RRB-, "".""/,, ""A""/DT, ""dog""/NN, ""reclines""/VBZ, ""nearby""/RB, "".""/,, ""The""/DT, ""young""/JJ, ""girl""/NN, ""holds""/VBZ, ""a""/DT, ""whip""/NN, "",""/,, ""probably""/RB, ""used""/VBN, ""for""/IN, ""spinning""/VBG, ""a""/DT, ""top.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/CD, ""/""/SYM, ""a""/NN, ""']""/'']"
IE1508039,9924119253607636,Fair prospects /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[120, 101, 74], [180, 148, 103], [217, 180, 136], [234, 208, 174], [241, 233, 221]]","[120, 101, 74]","[180, 148, 103]","[217, 180, 136]","[234, 208, 174]","[241, 233, 221]",Fair prospects /,Fair prospects /,Depicts two miners standing beside a windlass over the mouth of a mine.  They are examining a panful of earth for signs of gold.  The title suggests the signs are good.,,"['Span[12:13]: ""two"" → CARDINAL (0.9997)']","Sentence[51]: ""['Fair prospects /', 'Fair prospects /', 'Depicts two miners standing beside a windlass over the mouth of a mine.  They are examining a panful of earth for signs of gold.  The title suggests the signs are good.', 'n/a']"" → [""['""/``, ""Fair""/JJ, ""prospects""/NNS, ""/'""/'', "",""/,, ""'""/'', ""Fair""/JJ, ""prospects""/NNS, ""/'""/'', "",""/,, ""'""/'', ""Depicts""/VBZ, ""two""/CD, ""miners""/NNS, ""standing""/VBG, ""beside""/IN, ""a""/DT, ""windlass""/NN, ""over""/IN, ""the""/DT, ""mouth""/NN, ""of""/IN, ""a""/DT, ""mine""/NN, "".""/,, ""They""/PRP, ""are""/VBP, ""examining""/VBG, ""a""/DT, ""panful""/NN, ""of""/IN, ""earth""/NN, ""for""/IN, ""signs""/NNS, ""of""/IN, ""gold""/NN, "".""/,, ""The""/DT, ""title""/NN, ""suggests""/VBZ, ""the""/DT, ""signs""/NNS, ""are""/VBP, ""good.""/JJ, ""'""/'', "",""/,, ""'""/'', ""n""/FW, ""/""/,, ""a""/DT, ""']""/'']"
IE1508185,9923878663607636,Wayfaring diggers 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,,,,,,,Wayfaring diggers 1852 /,Wayfaring diggers 1852 /,Two diggers who have been travelling on foot.  They have paused on the bank of a creek and are boiling a billy.,,"['Span[13:14]: ""Two"" → CARDINAL (0.9882)']","Sentence[43]: ""['Wayfaring diggers 1852 /', 'Wayfaring diggers 1852 /', 'Two diggers who have been travelling on foot.  They have paused on the bank of a creek and are boiling a billy.', 'n/a']"" → [""['""/``, ""Wayfaring""/NNP, ""diggers""/NNS, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Wayfaring""/NNP, ""diggers""/NNS, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Two""/CD, ""diggers""/NNS, ""who""/WP, ""have""/VBP, ""been""/VBN, ""travelling""/VBG, ""on""/IN, ""foot""/NN, "".""/,, ""They""/PRP, ""have""/VBP, ""paused""/VBN, ""on""/IN, ""the""/DT, ""bank""/NN, ""of""/IN, ""a""/DT, ""creek""/NN, ""and""/CC, ""are""/VBP, ""boiling""/VBG, ""a""/DT, ""billy.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/FW, ""/""/SYM, ""a""/NN, ""']""/'']"
IE1513287,9923879493607636,Diggers of low degree 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,,,,,,,Diggers of low degree 1852 /,Diggers of low degree 1852 /,"Depicts a coarse-looking digger who has evidently been drinking, 'squaring up' in a boxing stance.  His friend appears to be inviting all comers to try their hand.",,"['Span[5:6]: ""1852"" → CARDINAL (0.7681)', 'Span[13:14]: ""1852"" → CARDINAL (0.7422)']","Sentence[55]: ""['Diggers of low degree 1852 /', 'Diggers of low degree 1852 /', ""Depicts a coarse-looking digger who has evidently been drinking, 'squaring up' in a boxing stance.  His friend appears to be inviting all comers to try their hand."", 'n/a']"" → [""['""/``, ""Diggers""/NNS, ""of""/IN, ""low""/JJ, ""degree""/NN, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Diggers""/NNS, ""of""/IN, ""low""/JJ, ""degree""/NN, ""1852""/CD, ""/'""/NFP, "",""/,, """"""/'', ""Depicts""/VBZ, ""a""/DT, ""coarse-looking""/JJ, ""digger""/NN, ""who""/WP, ""has""/VBZ, ""evidently""/RB, ""been""/VBN, ""drinking""/VBG, "",""/,, ""'""/``, ""squaring""/VBG, ""up""/RP, ""'""/'', ""in""/IN, ""a""/DT, ""boxing""/NN, ""stance""/NN, "".""/,, ""His""/PRP$, ""friend""/NN, ""appears""/VBZ, ""to""/TO, ""be""/VB, ""inviting""/VBG, ""all""/DT, ""comers""/NNS, ""to""/TO, ""try""/VB, ""their""/PRP$, ""hand.""/NN, """"""/'', "",""/,, ""'""/'', ""n""/NNP, ""/""/,, ""a""/DT, ""']""/'']"
IE1526560,9923879583607636,Nuggeting 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[134, 104, 71], [182, 147, 107], [212, 176, 135], [228, 202, 168], [233, 226, 215]]","[134, 104, 71]","[182, 147, 107]","[212, 176, 135]","[228, 202, 168]","[233, 226, 215]",Nuggeting 1852 /,Nuggeting 1852 /,"Depicts a digger at the bottom of an excavation.  He lies flat out, picking small lumps of gold out of the soil.",,"['Span[2:3]: ""1852"" → DATE (0.4721)', 'Span[5:8]: ""\'Nuggeting 1852"" → WORK_OF_ART (0.8437)']","Sentence[42]: ""['Nuggeting 1852 /', 'Nuggeting 1852 /', 'Depicts a digger at the bottom of an excavation.  He lies flat out, picking small lumps of gold out of the soil.', 'n/a']"" → [""['""/``, ""Nuggeting""/NNP, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Nuggeting""/NNP, ""1852""/CD, ""/'""/'', "",""/,, ""'""/'', ""Depicts""/VBZ, ""a""/DT, ""digger""/NN, ""at""/IN, ""the""/DT, ""bottom""/NN, ""of""/IN, ""an""/DT, ""excavation""/NN, "".""/,, ""He""/PRP, ""lies""/VBZ, ""flat""/RB, ""out""/RB, "",""/,, ""picking""/VBG, ""small""/JJ, ""lumps""/NNS, ""of""/IN, ""gold""/NN, ""out""/IN, ""of""/IN, ""the""/DT, ""soil.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/CD, ""/""/SYM, ""a""/NN, ""']""/'']"
IE1526894,9916716443607636,Invalid Digger 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,,,,,,,"""Invalid Digger"" 1852 /","""Invalid Digger"" 1852 /","A digger is seated in front of his tent, looking depressed.  His face is bound up possibly because of toothache, his left foot is sore so that he cannot wear his boot.  A medicine bottle stands on the ground near his foot.  His dog gazes at him with sympathy.  A wing rib of beef hangs from the roof pole of the tent.  A billy boils on a fire in the right foreground.",,"['Span[11:12]: ""1852"" → CARDINAL (0.5601)']","Sentence[101]: ""['""Invalid Digger"" 1852 /', '""Invalid Digger"" 1852 /', 'A digger is seated in front of his tent, looking depressed.  His face is bound up possibly because of toothache, his left foot is sore so that he cannot wear his boot.  A medicine bottle stands on the ground near his foot.  His dog gazes at him with sympathy.  A wing rib of beef hangs from the roof pole of the tent.  A billy boils on a fire in the right foreground.', 'n/a']"" → [""['""""/``, ""Invalid""/NNP, ""Digger""/NNP, """"""/'', ""1852""/CD, ""/'""/NFP, "",""/,, ""'""""/'', ""Invalid""/NNP, ""Digger""/NNP, """"""/'', ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""A""/DT, ""digger""/NN, ""is""/VBZ, ""seated""/VBN, ""in""/IN, ""front""/NN, ""of""/IN, ""his""/PRP$, ""tent""/NN, "",""/,, ""looking""/VBG, ""depressed""/JJ, "".""/., ""His""/PRP$, ""face""/NN, ""is""/VBZ, ""bound""/VBN, ""up""/RP, ""possibly""/RB, ""because""/IN, ""of""/IN, ""toothache""/NN, "",""/,, ""his""/PRP$, ""left""/JJ, ""foot""/NN, ""is""/VBZ, ""sore""/JJ, ""so""/IN, ""that""/IN, ""he""/PRP, ""cannot""/MD, ""wear""/VB, ""his""/PRP$, ""boot""/NN, "".""/,, ""A""/DT, ""medicine""/NN, ""bottle""/NN, ""stands""/VBZ, ""on""/IN, ""the""/DT, ""ground""/NN, ""near""/IN, ""his""/PRP$, ""foot""/NN, "".""/., ""His""/PRP$, ""dog""/NN, ""gazes""/VBZ, ""at""/IN, ""him""/PRP, ""with""/IN, ""sympathy""/NN, "".""/,, ""A""/DT, ""wing""/NN, ""rib""/NN, ""of""/IN, ""beef""/NN, ""hangs""/VBZ, ""from""/IN, ""the""/DT, ""roof""/NN, ""pole""/NN, ""of""/IN, ""the""/DT, ""tent""/NN, "".""/., ""A""/DT, ""billy""/NN, ""boils""/VBZ, ""on""/IN, ""a""/DT, ""fire""/NN, ""in""/IN, ""the""/DT, ""right""/JJ, ""foreground.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/NN, ""/""/,, ""a""/NN, ""']""/'']"
IE1526954,9923878573607636,Road in the Black Forest 1852 /,1872,Gill's Gold Fields of Victoria during 1852 & 3 comprising fifty original gold sketches ;,"[[107, 87, 64], [153, 130, 99], [186, 161, 127], [212, 188, 159], [234, 219, 202]]","[107, 87, 64]","[153, 130, 99]","[186, 161, 127]","[212, 188, 159]","[234, 219, 202]",Road in the Black Forest 1852 /,Road in the Black Forest 1852 /,Depicts an unmade road through partly cleared forest.  Bullock teams are being driven and individual diggers make their way on foot.  The skeleton of a bullock lies by the road.,,"['Span[1:7]: ""Road in the Black Forest 1852"" → WORK_OF_ART (0.7283)', 'Span[10:16]: ""Road in the Black Forest 1852"" → WORK_OF_ART (0.7868)', 'Span[0:1]: ""Bullock"" → PERSON (0.9772)']","Sentence[58]: ""['Road in the Black Forest 1852 /', 'Road in the Black Forest 1852 /', 'Depicts an unmade road through partly cleared forest.  Bullock teams are being driven and individual diggers make their way on foot.  The skeleton of a bullock lies by the road.', 'n/a']"" → [""['""/``, ""Road""/NNP, ""in""/IN, ""the""/DT, ""Black""/NNP, ""Forest""/NNP, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Road""/NNP, ""in""/IN, ""the""/DT, ""Black""/NNP, ""Forest""/NNP, ""1852""/CD, ""/'""/NFP, "",""/,, ""'""/'', ""Depicts""/VBZ, ""an""/DT, ""unmade""/JJ, ""road""/NN, ""through""/IN, ""partly""/RB, ""cleared""/VBN, ""forest""/NN, "".""/,, ""Bullock""/NNP, ""teams""/NNS, ""are""/VBP, ""being""/VBG, ""driven""/VBN, ""and""/CC, ""individual""/JJ, ""diggers""/NNS, ""make""/VBP, ""their""/PRP$, ""way""/NN, ""on""/IN, ""foot""/NN, "".""/,, ""The""/DT, ""skeleton""/NN, ""of""/IN, ""a""/DT, ""bullock""/NN, ""lies""/VBZ, ""by""/IN, ""the""/DT, ""road.""/NN, ""'""/'', "",""/,, ""'""/'', ""n""/FW, ""/""/SYM, ""a""/NN, ""']""/'']"
